timestamp_ms,chunk_bytes,total_data_bytes,file_bytes,sequence,chunk_index,chunk_count,send_time_ms
19.797,262103,75485664,121000000,0,287,462,20
19.828,262103,75747767,121000000,0,288,462,20
19.863,262103,76009870,121000000,0,289,462,20
19.899,262103,76271973,121000000,0,290,462,20
19.931,262103,76534076,121000000,0,291,462,20
19.963,262103,76796179,121000000,0,292,462,20
20.011,262103,77058282,121000000,0,293,462,20
20.160,262103,77320385,121000000,0,294,462,20
20.277,262103,77582488,121000000,0,295,462,20
20.362,262103,77844591,121000000,0,296,462,20
20.398,262103,78106694,121000000,0,297,462,20
20.423,262103,78368797,121000000,0,298,462,20
20.458,262103,78630900,121000000,0,299,462,20
20.494,262103,78893003,121000000,0,300,462,20
20.527,262103,79155106,121000000,0,301,462,20
20.562,262103,79417209,121000000,0,302,462,20
20.595,262103,79679312,121000000,0,303,462,20
20.631,262103,79941415,121000000,0,304,462,20
20.663,262103,80203518,121000000,0,305,462,20
20.695,262103,80465621,121000000,0,306,462,21
20.729,262103,80727724,121000000,0,307,462,21
20.760,262103,80989827,121000000,0,308,462,21
20.796,262103,81251930,121000000,0,309,462,21
20.831,262103,81514033,121000000,0,310,462,21
20.885,262103,81776136,121000000,0,311,462,21
20.916,262103,82038239,121000000,0,312,462,21
20.950,262103,82300342,121000000,0,313,462,21
20.982,262103,82562445,121000000,0,314,462,21
21.018,262103,82824548,121000000,0,315,462,21
21.054,262103,83086651,121000000,0,316,462,21
21.089,262103,83348754,121000000,0,317,462,21
21.120,262103,83610857,121000000,0,318,462,21
21.155,262103,83872960,121000000,0,319,462,21
21.186,262103,84135063,121000000,0,320,462,21
21.221,262103,84397166,121000000,0,321,462,21
21.252,262103,84659269,121000000,0,322,462,21
21.287,262103,84921372,121000000,0,323,462,21
21.319,262103,85183475,121000000,0,324,462,21
21.350,262103,85445578,121000000,0,325,462,21
21.384,262103,85707681,121000000,0,326,462,21
21.420,262103,85969784,121000000,0,327,462,21
21.452,262103,86231887,121000000,0,328,462,21
21.485,262103,86493990,121000000,0,329,462,21
21.525,262103,86756093,121000000,0,330,462,21
21.558,262103,87018196,121000000,0,331,462,21
21.594,262103,87280299,121000000,0,332,462,21
21.626,262103,87542402,121000000,0,333,462,21
21.661,262103,87804505,121000000,0,334,462,21
21.693,262103,88066608,121000000,0,335,462,22
21.731,262103,88328711,121000000,0,336,462,22
21.764,262103,88590814,121000000,0,337,462,22
21.801,262103,88852917,121000000,0,338,462,22
21.833,262103,89115020,121000000,0,339,462,22
21.869,262103,89377123,121000000,0,340,462,22
21.900,262103,89639226,121000000,0,341,462,22
21.931,262103,89901329,121000000,0,342,462,22
21.969,262103,90163432,121000000,0,343,462,22
22.005,262103,90425535,121000000,0,344,462,22
22.038,262103,90687638,121000000,0,345,462,22
22.072,262103,90949741,121000000,0,346,462,22
22.107,262103,91211844,121000000,0,347,462,22
22.142,262103,91473947,121000000,0,348,462,22
22.176,262103,91736050,121000000,0,349,462,22
22.210,262103,91998153,121000000,0,350,462,22
22.244,262103,92260256,121000000,0,351,462,22
22.277,262103,92522359,121000000,0,352,462,22
22.315,262103,92784462,121000000,0,353,462,22
22.346,262103,93046565,121000000,0,354,462,22
22.382,262103,93308668,121000000,0,355,462,22
22.416,262103,93570771,121000000,0,356,462,22
22.452,262103,93832874,121000000,0,357,462,22
22.482,262103,94094977,121000000,0,358,462,22
22.514,262103,94357080,121000000,0,359,462,22
22.549,262103,94619183,121000000,0,360,462,22
22.585,262103,94881286,121000000,0,361,462,22
22.618,262103,95143389,121000000,0,362,462,22
22.650,262103,95405492,121000000,0,363,462,22
22.686,262103,95667595,121000000,0,364,462,23
22.723,262103,95929698,121000000,0,365,462,23
22.758,262103,96191801,121000000,0,366,462,23
22.790,262103,96453904,121000000,0,367,462,23
22.824,262103,96716007,121000000,0,368,462,23
22.858,262103,96978110,121000000,0,369,462,23
22.893,262103,97240213,121000000,0,370,462,23
22.925,262103,97502316,121000000,0,371,462,23
22.961,262103,97764419,121000000,0,372,462,23
22.993,262103,98026522,121000000,0,373,462,23
23.037,262103,98288625,121000000,0,374,462,23
23.071,262103,98550728,121000000,0,375,462,23
23.106,262103,98812831,121000000,0,376,462,23
23.137,262103,99074934,121000000,0,377,462,23
23.171,262103,99337037,121000000,0,378,462,23
23.208,262103,99599140,121000000,0,379,462,23
23.238,262103,99861243,121000000,0,380,462,23
23.272,262103,100123346,121000000,0,381,462,23
23.308,262103,100385449,121000000,0,382,462,23
23.339,262103,100647552,121000000,0,383,462,23
23.371,262103,100909655,121000000,0,384,462,23
23.407,262103,101171758,121000000,0,385,462,23
23.437,262103,101433861,121000000,0,386,462,23
23.472,262103,101695964,121000000,0,387,462,23
23.504,262103,101958067,121000000,0,388,462,23
23.538,262103,102220170,121000000,0,389,462,23
23.569,262103,102482273,121000000,0,390,462,23
23.603,262103,102744376,121000000,0,391,462,23
23.635,262103,103006479,121000000,0,392,462,23
23.670,262103,103268582,121000000,0,393,462,23
23.701,262103,103530685,121000000,0,394,462,24
23.738,262103,103792788,121000000,0,395,462,24
23.769,262103,104054891,121000000,0,396,462,24
23.802,262103,104316994,121000000,0,397,462,24
23.838,262103,104579097,121000000,0,398,462,24
23.873,262103,104841200,121000000,0,399,462,24
23.905,262103,105103303,121000000,0,400,462,24
23.941,262103,105365406,121000000,0,401,462,24
23.976,262103,105627509,121000000,0,402,462,24
24.010,262103,105889612,121000000,0,403,462,24
24.049,262103,106151715,121000000,0,404,462,24
24.081,262103,106413818,121000000,0,405,462,24
24.116,262103,106675921,121000000,0,406,462,24
24.147,262103,106938024,121000000,0,407,462,24
24.185,262103,107200127,121000000,0,408,462,24
24.215,262103,107462230,121000000,0,409,462,24
24.251,262103,107724333,121000000,0,410,462,24
24.283,262103,107986436,121000000,0,411,462,24
24.317,262103,108248539,121000000,0,412,462,24
24.348,262103,108510642,121000000,0,413,462,24
24.379,262103,108772745,121000000,0,414,462,24
24.413,262103,109034848,121000000,0,415,462,24
24.449,262103,109296951,121000000,0,416,462,24
24.480,262103,109559054,121000000,0,417,462,24
24.512,262103,109821157,121000000,0,418,462,24
24.546,262103,110083260,121000000,0,419,462,24
24.571,262103,110345363,121000000,0,420,462,24
24.590,262103,110607466,121000000,0,421,462,24
24.626,262103,110869569,121000000,0,422,462,24
24.657,262103,111131672,121000000,0,423,462,24
24.688,262103,111393775,121000000,0,424,462,25
24.722,262103,111655878,121000000,0,425,462,25
24.754,262103,111917981,121000000,0,426,462,25
24.789,262103,112180084,121000000,0,427,462,25
24.823,262103,112442187,121000000,0,428,462,25
24.889,262103,112704290,121000000,0,429,462,25
24.920,262103,112966393,121000000,0,430,462,25
24.957,262103,113228496,121000000,0,431,462,25
24.990,262103,113490599,121000000,0,432,462,25
25.032,262103,113752702,121000000,0,433,462,25
25.090,262103,114014805,121000000,0,434,462,25
25.141,262103,114276908,121000000,0,435,462,25
25.176,262103,114539011,121000000,0,436,462,25
25.209,262103,114801114,121000000,0,437,462,25
25.245,262103,115063217,121000000,0,438,462,25
25.276,262103,115325320,121000000,0,439,462,25
25.311,262103,115587423,121000000,0,440,462,25
25.343,262103,115849526,121000000,0,441,462,25
25.374,262103,116111629,121000000,0,442,462,25
25.410,262103,116373732,121000000,0,443,462,25
25.443,262103,116635835,121000000,0,444,462,25
25.475,262103,116897938,121000000,0,445,462,25
25.508,262103,117160041,121000000,0,446,462,25
25.543,262103,117422144,121000000,0,447,462,25
25.574,262103,117684247,121000000,0,448,462,25
